step,relation_count,max_arity,mean_depth,common_classes,affine_fraction,bijunctive_fraction,horn_fraction,dual_horn_fraction,zero_valid_fraction,one_valid_fraction
20,1304,3,0.015337423312883436,[],0.13496932515337423,0.7131901840490797,0.6510736196319018,0.6771472392638037,0.7377300613496932,0.754601226993865
21,1301,3,0.01614142966948501,[],0.1345119139123751,0.7132974634896234,0.6510376633358954,0.6771714066102997,0.7386625672559569,0.7540353574173713
22,1300,3,0.016923076923076923,[],0.13384615384615384,0.713076923076923,0.6507692307692308,0.676923076923077,0.7384615384615385,0.7538461538461538
23,1297,3,0.017733230531996914,[],0.13338473400154202,0.7131842713955281,0.6499614494988435,0.6761757902852737,0.7378565921356978,0.7532767925983038
24,1296,3,0.018518518518518517,[],0.13271604938271606,0.7129629629629629,0.6504629629629629,0.6774691358024691,0.7384259259259259,0.7546296296296297
25,1293,3,0.019334880123743233,[],0.13302397525135345,0.7130703789636504,0.6504253673627224,0.6774941995359629,0.7378190255220418,0.7540603248259861
26,1292,3,0.020123839009287926,[],0.1323529411764706,0.7128482972136223,0.6501547987616099,0.6772445820433437,0.7376160990712074,0.7538699690402477
27,1289,3,0.02094647013188518,[],0.13266097750193948,0.712955779674166,0.6493405740884407,0.6772692009309542,0.7370054305663305,0.7532971295577967
28,1288,3,0.021739130434782608,[],0.13198757763975155,0.7127329192546584,0.6498447204968945,0.6777950310559007,0.7375776397515528,0.7531055900621118
29,1285,3,0.022568093385214007,[],0.13229571984435798,0.7128404669260701,0.6498054474708171,0.6778210116731518,0.7369649805447471,0.7525291828793774
30,1284,3,0.02336448598130841,[],0.13161993769470404,0.7126168224299065,0.6495327102803738,0.677570093457944,0.7367601246105919,0.7523364485981309
31,1281,3,0.02419984387197502,[],0.13192818110850899,0.7127244340359095,0.6494925839188135,0.6783762685402029,0.7377049180327869,0.7525370804059328
32,1280,3,0.025,[],0.13125,0.7125,0.64921875,0.678125,0.7375,0.75234375
33,1277,3,0.025841816758026624,[],0.1307752545027408,0.7126076742364917,0.6483946750195771,0.6773688332028192,0.7368833202819107,0.7517619420516837
34,1276,3,0.02664576802507837,[],0.13009404388714735,0.7123824451410659,0.6496865203761756,0.6778996865203761,0.7382445141065831,0.7523510971786834
35,1273,3,0.02749410840534171,[],0.12961508248232523,0.7124901806755696,0.6488609583660644,0.6787117046347211,0.7376276512175962,0.7541241162608012
36,1272,3,0.02830188679245283,[],0.1289308176100629,0.7122641509433962,0.6501572327044025,0.6792452830188679,0.7389937106918238,0.7547169811320755
37,1269,3,0.029156816390858944,[],0.12923561859732072,0.7123719464144996,0.6493301812450749,0.6792750197005516,0.7383766745468873,0.7541371158392435
38,1268,3,0.02996845425867508,[],0.12854889589905363,0.7121451104100947,0.6490536277602523,0.6790220820189274,0.7381703470031545,0.7539432176656151
39,1265,3,0.0308300395256917,[],0.12806324110671938,0.7122529644268775,0.6490118577075099,0.6790513833992095,0.7375494071146245,0.7549407114624506
40,1264,3,0.03164556962025317,[],0.127373417721519,0.7120253164556962,0.6495253164556962,0.6787974683544303,0.7381329113924051,0.754746835443038
41,1261,3,0.03251387787470262,[],0.12767644726407612,0.7121332275971451,0.6494845360824743,0.6780333068992863,0.7375099127676448,0.7541633624107851
42,1260,3,0.03333333333333333,[],0.12698412698412698,0.7119047619047619,0.6492063492063492,0.6777777777777778,0.7373015873015873,0.753968253968254
43,1257,3,0.03420843277645187,[],0.12649164677804295,0.7120127287191726,0.649164677804296,0.6778042959427207,0.7366746221161495,0.7549721559268099
