nvars,nclauses,rep,direct_status,fusion_status,fusion_verified,z3_status,agreement,direct_seconds,fusion_seconds,fusion_steps
50,213,87,UNKNOWN,UNKNOWN,False,SAT,True,0.014528853999763669,0.06317372300009083,1
50,213,88,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014524347999667953,0.027786473000105616,0
50,213,89,UNKNOWN,UNKNOWN,False,SAT,True,0.014372146999903634,0.06149062299982688,1
50,213,90,UNKNOWN,UNKNOWN,False,SAT,True,0.014254328999868449,0.03047759999981281,1
50,213,91,UNKNOWN,UNKNOWN,False,SAT,True,0.01626176099989607,0.06037377099983132,1
50,213,92,UNKNOWN,UNKNOWN,False,SAT,True,0.01401188199997705,0.0587154379995809,1
50,213,93,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014357324999764387,0.027735115000268706,0
50,213,94,UNKNOWN,UNKNOWN,False,SAT,True,0.014717570999891905,0.06239366099998733,1
50,213,95,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014334069000142335,0.02799619100005657,0
50,213,96,UNKNOWN,UNKNOWN,False,UNSAT,True,0.014393630000085977,0.027952343999913865,0
50,213,97,UNKNOWN,UNKNOWN,False,SAT,True,0.01429994699992676,0.02831184900014705,0
50,213,98,UNKNOWN,UNKNOWN,False,SAT,True,0.014186135999807448,0.02771692799979064,0
50,213,99,UNKNOWN,UNKNOWN,False,SAT,True,0.014487753000139492,0.027914838000015152,0
100,426,0,UNKNOWN,UNKNOWN,False,SAT,True,0.02868034799985253,0.055666097000084847,0
100,426,1,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028293220000250585,0.056567693000033614,1
100,426,2,UNKNOWN,UNKNOWN,False,SAT,True,0.02846602299996448,0.055536580000079994,0
100,426,3,UNKNOWN,UNKNOWN,False,SAT,True,0.0290406429999166,0.1007920029996967,2
100,426,4,UNKNOWN,UNKNOWN,False,SAT,True,0.029011249000177486,0.0564519989998189,0
100,426,5,UNKNOWN,UNKNOWN,False,SAT,True,0.028648199000144814,0.05610599400006322,0
100,426,6,UNKNOWN,UNKNOWN,False,SAT,True,0.028602678999959608,0.05625146400006997,0
100,426,7,UNKNOWN,UNKNOWN,False,SAT,True,0.02857897400008369,0.05548371000031693,0
100,426,8,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028551031999995757,0.08777087299995401,1
100,426,9,UNKNOWN,UNKNOWN,False,SAT,True,0.028801110000131303,0.05553615000007994,0
100,426,10,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028697444000044925,0.05640722999987702,0
100,426,11,UNKNOWN,UNKNOWN,False,SAT,True,0.028716151000026002,0.12550650100001803,2
100,426,12,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028981993999877886,0.05547982400003093,0
100,426,13,UNKNOWN,UNKNOWN,False,SAT,True,0.02888250300020445,0.05644305499981783,1
100,426,14,UNKNOWN,UNKNOWN,False,SAT,True,0.02887900699988677,0.06538307699975121,1
100,426,15,UNKNOWN,UNKNOWN,False,SAT,True,0.02898390600012135,0.05549504800001159,0
100,426,16,UNKNOWN,UNKNOWN,False,SAT,True,0.029046020000350836,0.09171048200005316,1
100,426,17,UNKNOWN,UNKNOWN,False,SAT,True,0.02911152900014713,0.06418379199976698,1
100,426,18,UNKNOWN,UNKNOWN,False,UNSAT,True,0.02881606200025999,0.0553450120000889,0
100,426,19,UNKNOWN,UNKNOWN,False,SAT,True,0.02860631400017155,0.055360123999889765,0
100,426,20,UNKNOWN,UNKNOWN,False,SAT,True,0.028714026999750786,0.05654783199997837,0
100,426,21,UNKNOWN,UNKNOWN,False,SAT,True,0.02929325400009475,0.09208707200014032,1
100,426,22,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028815611000027275,0.056009277000157454,0
100,426,23,UNKNOWN,UNKNOWN,False,SAT,True,0.029274135999912687,0.09906905099978758,1
100,426,24,UNKNOWN,UNKNOWN,False,SAT,True,0.029983478999838553,0.0557585670003391,0
100,426,25,UNKNOWN,UNKNOWN,False,SAT,True,0.029261915999995836,0.06377474199962307,1
100,426,26,UNKNOWN,UNKNOWN,False,SAT,True,0.07107335099999545,0.055965791000289755,0
100,426,27,UNKNOWN,UNKNOWN,False,SAT,True,0.028516017000129068,0.055355878000227676,0
100,426,28,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028593375000127708,0.09558613900026103,1
100,426,29,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028424277999874903,0.055578806000085024,0
100,426,30,UNKNOWN,UNKNOWN,False,SAT,True,0.028463598000143975,0.05528453000033551,0
100,426,31,UNKNOWN,UNKNOWN,False,SAT,True,0.028495797999767092,0.09438006299978952,1
100,426,32,UNKNOWN,UNKNOWN,False,UNSAT,True,0.031037875000038184,0.12460962500017558,2
100,426,33,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028679986000042845,0.05550056699985362,0
100,426,34,UNKNOWN,UNKNOWN,False,SAT,True,0.02895056499983184,0.058544035000068106,1
100,426,35,UNKNOWN,UNKNOWN,False,SAT,True,0.03165622999995321,0.05499993900002664,0
100,426,36,UNKNOWN,UNKNOWN,False,SAT,True,0.029364212000018597,0.05526535099988905,0
100,426,37,UNKNOWN,UNKNOWN,False,SAT,True,0.028910095000355795,0.056320799000332045,0
100,426,38,UNKNOWN,UNKNOWN,False,SAT,True,0.028783832999579317,0.09167587999991156,1
100,426,39,UNKNOWN,UNKNOWN,False,SAT,True,0.028935672999978124,0.05558580600018104,0
100,426,40,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028851104999830568,0.056078422000155115,0
100,426,41,UNKNOWN,UNKNOWN,False,UNSAT,True,0.029019590000189055,0.05499243799977194,0
100,426,42,UNKNOWN,UNKNOWN,False,SAT,True,0.02904511899987483,0.055835403999935806,0
100,426,43,UNKNOWN,UNKNOWN,False,SAT,True,0.029696254000100453,0.08775009600003614,1
100,426,44,UNKNOWN,UNKNOWN,False,SAT,True,0.028796281999802886,0.08741253500011226,1
100,426,45,UNKNOWN,UNKNOWN,False,UNSAT,True,0.0287956510001095,0.12795256500021424,2
100,426,46,UNKNOWN,UNKNOWN,False,SAT,True,0.02872299099999509,0.05603371400002288,0
100,426,47,UNKNOWN,UNKNOWN,False,UNSAT,True,0.02856749599959585,0.05522628199969404,0
100,426,48,UNKNOWN,UNKNOWN,False,UNSAT,True,0.02922156599970549,0.055250568999781535,0
100,426,49,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028674757999851863,0.05550667599982262,0
100,426,50,UNKNOWN,UNKNOWN,False,SAT,True,0.028846917999999278,0.05630252099990685,1
100,426,51,UNKNOWN,UNKNOWN,False,SAT,True,0.02860801699989679,0.08973805599998741,1
100,426,52,UNKNOWN,UNKNOWN,False,SAT,True,0.03012204800006657,0.057931687000291276,0
100,426,53,UNKNOWN,UNKNOWN,False,SAT,True,0.02841788900013853,0.05833825300032913,1
100,426,54,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028808089999984077,0.09123608300023989,1
100,426,55,UNKNOWN,UNKNOWN,False,SAT,True,0.028551711000091018,0.055872019000162254,0
100,426,56,UNKNOWN,UNKNOWN,False,SAT,True,0.028410959000211733,0.09107504900021013,1
100,426,57,UNKNOWN,UNKNOWN,False,SAT,True,0.02858236800011582,0.09102465400019355,1
100,426,58,UNKNOWN,UNKNOWN,False,SAT,True,0.02879380800004583,0.05661229999986972,0
100,426,59,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028386600999965594,0.12991443500004607,2
100,426,60,UNKNOWN,UNKNOWN,False,SAT,True,0.031466264000300725,0.05524127499984388,0
100,426,61,UNKNOWN,UNKNOWN,False,SAT,True,0.029291592000390665,0.055016764999891166,0
100,426,62,UNKNOWN,UNKNOWN,False,UNSAT,True,0.030410185000164347,0.13667450799994185,3
100,426,63,UNKNOWN,UNKNOWN,False,SAT,True,0.02885894700011704,0.09183911600030115,1
100,426,64,UNKNOWN,UNKNOWN,False,UNSAT,True,0.02898723099997369,0.09123392099991179,1
100,426,65,UNKNOWN,UNKNOWN,False,SAT,True,0.02850294700010636,0.05566876200009574,0
100,426,66,UNKNOWN,UNKNOWN,False,SAT,True,0.02892928299979758,0.05483963599999697,0
100,426,67,UNKNOWN,UNKNOWN,False,SAT,True,0.028431681000256503,0.054885114999706275,0
100,426,68,UNKNOWN,UNKNOWN,False,UNSAT,True,0.0287597960000312,0.1309587470000224,1
100,426,69,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028582589000052394,0.055998720999923535,0
100,426,70,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028414834999693994,0.08825402899992696,1
100,426,71,UNKNOWN,UNKNOWN,False,SAT,True,0.028320681999957742,0.06532145400024092,1
100,426,72,UNKNOWN,UNKNOWN,False,SAT,True,0.03021398800001407,0.08959549000019251,1
100,426,73,UNKNOWN,UNKNOWN,False,SAT,True,0.029531874999975116,0.056183971999871574,1
100,426,74,UNKNOWN,UNKNOWN,False,UNSAT,True,0.03201101800004835,0.055220012000063434,0
100,426,75,UNKNOWN,UNKNOWN,False,SAT,True,0.029026349999639933,0.09758239099983257,2
100,426,76,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028651633000208676,0.10188656600030299,2
100,426,77,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028662108999924385,0.05615941400037627,0
100,426,78,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028974550999919302,0.05637884699990536,0
100,426,79,UNKNOWN,UNKNOWN,False,SAT,True,0.0286810580000747,0.09089782099999866,1
100,426,80,UNKNOWN,UNKNOWN,False,SAT,True,0.02887887699989733,0.05528621299981751,0
100,426,81,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028522888000225066,0.05610627399983059,0
100,426,82,UNKNOWN,UNKNOWN,False,UNSAT,True,0.02918039400037742,0.05524780500036286,0
100,426,83,UNKNOWN,UNKNOWN,False,SAT,True,0.02852856699973927,0.055552285999965534,0
100,426,84,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028602878999663517,0.055438062000121135,0
100,426,85,UNKNOWN,UNKNOWN,False,UNSAT,True,0.02848146499991344,0.055263338000258955,0
100,426,86,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028869653000128892,0.055374215000028926,0
100,426,87,UNKNOWN,UNKNOWN,False,SAT,True,0.02896493800017197,0.05507605499997226,0
100,426,88,UNKNOWN,UNKNOWN,False,SAT,True,0.02873674199963716,0.05550854900002378,0
100,426,89,UNKNOWN,UNKNOWN,False,SAT,True,0.029452359000060824,0.13114792400028819,1
100,426,90,UNKNOWN,UNKNOWN,False,SAT,True,0.028723333000016282,0.056036545999631926,0
100,426,91,UNKNOWN,UNKNOWN,False,SAT,True,0.028534169000067777,0.06747927499964135,2
100,426,92,UNKNOWN,UNKNOWN,False,UNSAT,True,0.02851703299984365,0.061106146999918565,2
100,426,93,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028562251000039396,0.09576894699966942,1
100,426,94,UNKNOWN,UNKNOWN,False,SAT,True,0.028975090999665554,0.09119820700016135,1
100,426,95,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028829141999722196,0.09309330599990062,1
100,426,96,UNKNOWN,UNKNOWN,False,SAT,True,0.028979447999972763,0.0911758839997674,1
100,426,97,UNKNOWN,UNKNOWN,False,SAT,True,0.029339008000079048,0.05581706700013456,0
100,426,98,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028021247000197036,0.08739538000008906,1
100,426,99,UNKNOWN,UNKNOWN,False,UNSAT,True,0.028646438000123453,0.05577788699974917,0
